chunk,index,lat,lon
1,1,47.43566,-94.999333333
1,3511,47.22797500000001,-95.19606833299999
2,3591,43.52816500000001,-91.23699
2,4731,43.48310166699999,-91.21411166700003
3,4811,38.744675,-90.195231667
3,7871,38.009443333,-90.066668333
4,7951,36.98502416699999,-89.14226333350001
4,12001,36.5825883335,-89.5173783335
5,12082,30.437956667000005,-91.19201749999999
5,25432,29.287,-89.350196667
